Make,Model,Variant,Ex-Showroom_Price,Displacement,Cylinders,Valves_Per_Cylinder,Drivetrain,Cylinder_Configuration,Emission_Norm,Engine_Location,Fuel_System,Fuel_Tank_Capacity,Fuel_Type,Height,Width,Body_Type,Doors,ARAI_Certified_Mileage,Gears,Ground_Clearance,Front_Brakes,Rear_Brakes,Front_Suspension,Rear_Suspension,Power_Steering,Power_Windows,Power,Torque,Odometer,Speedometer,Tachometer,Tripmeter,Seating_Capacity,Type,12v_Power_Outlet,Audiosystem,Basic_Warranty,Boot-lid_Opener,Boot_Space,Central_Locking,Child_Safety_Locks,Clock,Door_Pockets,Engine_Malfunction_Light,Fuel-lid_Opener,Fuel_Gauge,Multifunction_Display,ABS_(Anti-lock_Braking_System),EBD_(Electronic_Brake-force_Distribution),Number_of_Airbags,USB_Compatibility,EBA_(Electronic_Brake_Assist),Seat_Height_Adjustment,Selling_Price
24,46,1038,569,127,3.0,4.0,2,1,2,1,0,7,5,108,13,5,5.0,213,1,33,2,0,93,38,0,0,306,334,1,0,0,3,5.0,4,4,1,9,3,25,1,1,1,1,1,0,2,1,0,0,1.0,1,0,2,17.35
24,46,1039,630,127,3.0,4.0,2,1,2,1,0,7,5,108,13,5,5.0,213,1,33,2,0,93,38,0,0,306,334,1,0,0,3,5.0,4,4,1,9,3,25,1,1,1,1,1,0,2,1,1,0,2.0,1,0,2,17.27
24,46,1043,631,127,3.0,4.0,2,1,2,1,0,7,5,108,13,5,5.0,213,1,33,2,0,93,38,0,0,306,334,1,0,0,3,5.0,1,4,1,9,3,25,1,1,1,1,1,0,2,1,0,0,1.0,1,0,2,17.65
24,46,1044,637,127,3.0,4.0,2,1,2,1,0,7,5,108,13,5,5.0,213,1,33,2,0,93,38,0,0,306,334,1,0,0,3,5.0,1,4,1,9,3,25,1,1,1,1,1,0,2,1,1,0,2.0,1,0,2,17.73
24,106,373,839,9,4.0,4.0,2,1,2,1,0,6,5,114,26,5,5.0,182,1,40,2,0,104,138,0,0,343,16,0,0,6,3,5.0,0,4,4,7,8,37,1,1,1,1,1,0,0,1,1,1,2.0,1,0,2,17.78
24,106,374,767,9,4.0,4.0,2,1,2,1,0,6,5,114,26,5,5.0,182,1,40,2,0,104,138,0,0,343,16,0,0,6,3,5.0,4,4,4,7,8,37,1,1,1,1,1,0,0,1,1,1,2.0,1,0,2,17.67
24,106,456,713,9,4.0,4.0,2,1,2,1,0,6,5,114,26,5,5.0,182,1,40,2,0,104,138,0,0,343,16,1,0,0,3,5.0,0,4,1,7,3,37,1,1,1,2,1,0,0,1,1,1,2.0,1,0,2,17.52
24,106,457,650,9,4.0,4.0,2,1,2,1,0,6,5,114,26,5,5.0,182,1,40,2,0,104,138,0,0,343,16,1,0,0,3,5.0,4,4,1,7,3,37,1,1,1,1,1,0,0,1,1,1,2.0,1,0,2,17.18
24,106,770,561,9,4.0,4.0,2,1,2,1,0,6,5,114,26,5,5.0,182,1,40,2,0,104,138,0,1,343,16,0,0,5,3,5.0,4,4,6,7,0,37,0,1,1,0,1,3,0,0,1,1,2.0,0,0,2,17.98
24,106,1031,730,9,4.0,4.0,2,1,2,1,0,6,5,114,26,5,5.0,182,1,40,2,0,104,138,0,0,343,16,0,0,6,0,5.0,0,4,4,7,0,37,1,1,1,0,1,0,0,1,1,1,2.0,1,0,2,17.91
